slot,t_s,ue_id,ue_x_m,ue_y_m,ue_z_m,sinr_db,spectral_eff_bphz,alloc_ru,arrival_bits,tx_bits,ack_bits,queue_bits,bler,success
49,0.049,3,-7.915300301055014,3.8600907558006448,1.2,5.0,0.8,0,0,0,0,0,,
50,0.05,0,2.031828547407383,4.76329497682498,1.2,5.0,0.8,0,0,0,0,0,,
50,0.05,1,4.39088035145868,-3.3201143076786233,1.2,5.0,0.8,0,0,0,0,0,,
50,0.05,2,-3.222342743479671,4.477039127955189,1.2,5.0,0.8,0,0,0,0,0,,
50,0.05,3,-7.915291204537098,3.8601977505047937,1.2,5.0,0.8,0,0,0,0,0,,
51,0.051000000000000004,0,2.032422686264887,4.763230846730668,1.2,5.0,0.8,0,0,0,0,0,,
51,0.051000000000000004,1,4.390486416312319,-3.320557456454422,1.2,5.0,0.8,0,0,0,0,0,,
51,0.051000000000000004,2,-3.2228330043043627,4.476929280566955,1.2,5.0,0.8,0,0,0,0,0,,
51,0.051000000000000004,3,-7.915282108019182,3.8603047452089427,1.2,5.0,0.8,0,0,0,0,0,,
52,0.052000000000000005,0,2.0330168251223912,4.763166716636356,1.2,5.0,0.8,0,0,0,0,0,,
52,0.052000000000000005,1,4.390092481165958,-3.3210006052302203,1.2,5.0,0.8,0,0,0,0,0,,
52,0.052000000000000005,2,-3.2233232651290544,4.47681943317872,1.2,5.0,0.8,0,0,0,0,0,,
52,0.052000000000000005,3,-7.915273011501267,3.8604117399130917,1.2,5.0,0.8,0,0,0,0,0,,
53,0.053,0,2.0336109639798954,4.763102586542043,1.2,5.0,0.8,0,0,0,0,0,,
53,0.053,1,4.389698546019597,-3.321443754006019,1.2,5.0,0.8,0,0,0,0,0,,
53,0.053,2,-3.223813525953746,4.476709585790486,1.2,5.0,0.8,0,0,0,0,0,,
53,0.053,3,-7.915263914983351,3.8605187346172407,1.2,5.0,0.8,0,0,0,0,0,,
54,0.054,0,2.0342051028373995,4.763038456447731,1.2,5.0,0.8,0,0,0,0,0,,
54,0.054,1,4.389304610873236,-3.3218869027818174,1.2,5.0,0.8,0,0,0,0,0,,
54,0.054,2,-3.224303786778438,4.476599738402252,1.2,5.0,0.8,0,0,0,0,0,,
54,0.054,3,-7.915254818465435,3.8606257293213897,1.2,5.0,0.8,0,0,0,0,0,,
55,0.055,0,2.0347992416949037,4.762974326353419,1.2,5.0,0.8,0,0,0,0,0,,
55,0.055,1,4.3889106757268745,-3.322330051557616,1.2,5.0,0.8,0,0,0,0,0,,
55,0.055,2,-3.2247940476031296,4.476489891014017,1.2,5.0,0.8,0,0,0,0,0,,
55,0.055,3,-7.915245721947519,3.8607327240255387,1.2,5.0,0.8,0,0,0,0,0,,
56,0.056,0,2.035393380552408,4.7629101962591065,1.2,5.0,0.8,0,0,0,0,0,,
56,0.056,1,4.388516740580513,-3.3227732003334145,1.2,5.0,0.8,0,0,0,0,0,,
56,0.056,2,-3.2252843084278213,4.476380043625783,1.2,5.0,0.8,0,0,0,0,0,,
56,0.056,3,-7.915236625429603,3.8608397187296877,1.2,5.0,0.8,0,0,0,0,0,,
57,0.057,0,2.035987519409912,4.762846066164794,1.2,5.0,0.8,0,0,0,0,0,,
57,0.057,1,4.388122805434152,-3.323216349109213,1.2,5.0,0.8,0,0,0,0,0,,
57,0.057,2,-3.225774569252513,4.476270196237548,1.2,5.0,0.8,0,0,0,0,0,,
57,0.057,3,-7.915227528911688,3.8609467134338367,1.2,5.0,0.8,0,0,0,0,0,,
58,0.058,0,2.036581658267416,4.762781936070482,1.2,5.0,0.8,0,0,0,0,0,,
58,0.058,1,4.387728870287791,-3.3236594978850116,1.2,5.0,0.8,0,0,0,0,0,,
58,0.058,2,-3.2262648300772048,4.476160348849314,1.2,5.0,0.8,0,0,0,0,0,,
58,0.058,3,-7.915218432393772,3.8610537081379857,1.2,5.0,0.8,0,0,0,0,0,,
59,0.059000000000000004,0,2.0371757971249203,4.76271780597617,1.2,5.0,0.8,0,0,0,0,0,,
59,0.059000000000000004,1,4.38733493514143,-3.32410264666081,1.2,5.0,0.8,0,0,0,0,0,,
59,0.059000000000000004,2,-3.2267550909018965,4.47605050146108,1.2,5.0,0.8,0,0,0,0,0,,
59,0.059000000000000004,3,-7.915209335875856,3.8611607028421346,1.2,5.0,0.8,0,0,0,0,0,,
60,0.06,0,2.0377699359824244,4.762653675881857,1.2,5.0,0.8,0,0,0,0,0,,
60,0.06,1,4.386940999995069,-3.3245457954366087,1.2,5.0,0.8,0,0,0,0,0,,
60,0.06,2,-3.227245351726588,4.475940654072845,1.2,5.0,0.8,0,0,0,0,0,,
60,0.06,3,-7.91520023935794,3.8612676975462836,1.2,5.0,0.8,0,0,0,0,0,,
61,0.061,0,2.0383640748399285,4.762589545787545,1.2,5.0,0.8,0,0,0,0,0,,
61,0.061,1,4.386547064848708,-3.324988944212407,1.2,5.0,0.8,0,0,0,0,0,,
61,0.061,2,-3.22773561255128,4.475830806684611,1.2,5.0,0.8,0,0,0,0,0,,
61,0.061,3,-7.915191142840024,3.8613746922504326,1.2,5.0,0.8,0,0,0,0,0,,
62,0.062,0,2.0389582136974327,4.762525415693233,1.2,5.0,0.8,0,0,0,0,0,,
62,0.062,1,4.386153129702347,-3.3254320929882057,1.2,5.0,0.8,0,0,0,0,0,,
62,0.062,2,-3.2282258733759717,4.4757209592963765,1.2,5.0,0.8,0,0,0,0,0,,
62,0.062,3,-7.9151820463221085,3.8614816869545816,1.2,5.0,0.8,0,0,0,0,0,,
63,0.063,0,2.039552352554937,4.762461285598921,1.2,5.0,0.8,0,0,0,0,0,,
63,0.063,1,4.385759194555986,-3.3258752417640043,1.2,5.0,0.8,0,0,0,0,0,,
63,0.063,2,-3.2287161342006634,4.475611111908142,1.2,5.0,0.8,0,0,0,0,0,,
63,0.063,3,-7.915172949804193,3.8615886816587306,1.2,5.0,0.8,0,0,0,0,0,,
64,0.064,0,2.040146491412441,4.762397155504608,1.2,5.0,0.8,0,0,0,0,0,,
64,0.064,1,4.385365259409625,-3.326318390539803,1.2,5.0,0.8,0,0,0,0,0,,
64,0.064,2,-3.229206395025355,4.475501264519908,1.2,5.0,0.8,0,0,0,0,0,,
64,0.064,3,-7.915163853286277,3.8616956763628796,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
65,0.065,0,2.040740630269945,4.762333025410296,1.2,5.0,0.8,0,0,0,0,0,,
65,0.065,1,4.3849713242632635,-3.3267615393156014,1.2,5.0,0.8,0,0,0,0,0,,
65,0.065,2,-3.229696655850047,4.475391417131673,1.2,5.0,0.8,0,0,0,0,0,,
65,0.065,3,-7.915154756768361,3.8618026710670286,1.2,5.0,0.8,0,0,0,0,0,,
66,0.066,0,2.0413347691274493,4.762268895315984,1.2,5.0,0.8,0,0,0,0,0,,
66,0.066,1,4.384577389116902,-3.3272046880914,1.2,5.0,0.8,0,0,0,0,0,,
66,0.066,2,-3.2301869166747386,4.475281569743439,1.2,5.0,0.8,0,0,0,0,0,,
66,0.066,3,-7.915145660250445,3.8619096657711776,1.2,5.0,0.8,0,0,0,0,0,,
67,0.067,0,2.0419289079849534,4.7622047652216715,1.2,5.0,0.8,0,0,0,0,0,,
67,0.067,1,4.384183453970541,-3.3276478368671984,1.2,5.0,0.8,0,0,0,0,0,,
